spp,cli,cli alt,cli prec,cli tmax,cli tmean,cli tmin,loc,loc alk,loc area,loc color,loc depth,loc secchi,loc tp,spa,spa n
spp,cli,cli,cli,cli,cli,cli,loc,loc,loc,loc,loc,loc,loc,spa,spa
spp,%,alt,prec,tmax,tmean,tmin,%,alk,area,color,depth,secchi,tp,%,n
Assemb. comp.,19.3822974858551,**,**,**,**,*,19.6109349713541,**,*,,,**,**,28.1770084051031,21
Richness,16.5411048010678,,*+,,,***-,29.0887293449523,,,,***+,*+,***-,34.3468906770148,10
P. amplifolius,26.5021503728003,,**+,ns+,*-,,32.0509173242791,***-,,,,*+,*-,28.2803784804378,8
P. crispus,25.8340550561047,,,***+,,,19.9772617139284,***+,,,,***-,,44.9432696846895,12
P. epihydrus,18.6667397460792,*+,**+,*-,,,21.1655288948889,***-,,*+,,,,23.4663564652976,7
P. foliosus,5.81799293647457,**+,,,,,2.50092525497516,,,,,*+,,13.0339369929855,4
P. friesii,7.22415813552895,,***-,,,,1.3339664643078,ns+,,,,,,15.6700399658488,7
P. gramineus,12.0909139155526,*-,,,***-,,20.0275915696401,*-,*+,,,***+,ns-,19.1283303340819,5
P. illinoensis,10.2231101387224,***-,,,*-,,30.7492024142593,***+,,,*+,***+,**-,32.8818417862485,8
P. natans,9.67497567237651,,,,,***-,10.7798721009288,,,,**+,,*-,20.5152395922681,8
P. pectinatus,29.8773817359647,,,***+,,,54.3443611428068,***+,*-,,,,*+,60.4846611920142,19
P. praelongus,7.22364213283982,,,,,***-,10.5979773365286,,,*-,,,***-,29.2930863053368,9
P. pusillus,36.4011893585968,***+,***+,,,,23.4698604689292,***-,,,,,,47.9827297810382,8
P. richardsoni,3.84694004446381,,*-,,,,7.55579615392207,,***+,,,,,8.94011378478855,3
P. robbinsii,17.2954425049831,,,***-,,,28.9921520108959,***-,,,,**+,,32.0413444240854,9
P. spirillus,15.3660182745531,***+,**+,,,,14.1358158157293,***-,,*+,,,,24.2943645723126,6
P. strictifolius,11.6712255204115,*+,***+,,,,5.83521711205263,**-,,,,,,13.6641108310884,3
P. zosteriformis,13.6190768007589,*-,,,,***-,3.83291938858298,,,,*+,,,18.9585837356508,5
